streetname,num_of_uplifts,maintenance_suggestion,repair_priority,surface_type,length_ft,area_sy,sci_2023,sw_id,avg_width,num_of_distresses,bufferwidth_avg,num_crack_minor,num_crack_moderate,num_crack_severe,num_grass_present,num_surface_distortion_minor,num_surface_distortion_mod,num_surface_distortion_severe,num_uplift_general_minor,num_uplift_general_moderate,num_uplift_general_severe,num_uplift_tree_minor,num_uplift_tree_moderate,num_uplift_tree_severe,num_utility_hazard_present,avg_stress_lvl_Dummy
S IOWA ST,24,Reconstruction,72.85344719,Concrete,511,283.8900147,39,1132,5,28,,4,0,0,0,0,0,0,12,7,3,0,2,0,0,
W JEFFERSON BLVD,11,Reconstruction,72.90873637,Concrete,303,180.9600067,53,1133,5.375,27,,6,0,0,8,2,0,0,6,4,0,1,0,0,0,
W JEFFERSON BLVD,4,Defer Maintenance,65.78568268,Concrete,286,162.8600006,75,1134,5.125,18,,2,0,0,9,3,0,0,3,1,0,0,0,0,0,
W JEFFERSON BLVD,2,Defer Maintenance,66.31089348,Concrete,285,162.2899933,74,1135,5.125,14,,0,0,0,12,0,0,0,0,1,1,0,0,0,0,
N KALEY ST,12,Reconstruction,74.38344291,Concrete,242,124.3600006,39,1136,4.625,17,,4,0,0,0,1,0,0,8,3,1,0,0,0,0,
S LAKE ST,24,Reconstruction,78.42379623,Concrete,511,276.7900085,23,1137,4.875,32,,5,0,0,3,0,0,0,7,3,13,0,0,0,1,
W JEFFERSON BLVD,27,Reconstruction,86.69379662,Concrete,300,158.3300018,14,1138,4.75,33,,3,0,0,1,2,0,0,7,12,4,0,3,1,0,
S IOWA ST,13,Defer Maintenance,61.36745913,Concrete,512,256,72,1139,4.5,19,,2,0,0,2,1,0,1,8,1,0,1,3,0,0,
W WASHINGTON ST,3,Defer Maintenance,60.59575679,Concrete,291,153.5800018,75,1140,4.75,10,,1,1,0,3,1,1,0,0,1,1,0,1,0,0,
CAMDEN ST,22,Reconstruction,72.53561946,Concrete,515,286.1099853,37,1141,5,54,,3,0,0,14,15,0,0,7,8,4,1,1,1,0,
S BENDIX DR,0,Reconstruction,87.74131274,Concrete,513,299.25,0,1142,5.25,0,,,,,,,,,,,,,,,,
N KALEY ST,16,Reconstruction,64.55264143,Concrete,510,276.25,46,1143,4.875,41,,10,0,0,14,1,0,0,4,6,4,0,1,1,0,
VASSAR AVE,2,Reconstruction,89.37954057,Concrete,149,86.91999817,19,1144,5.25,10,,1,0,0,0,1,0,6,0,1,1,0,0,0,0,
N ADAMS ST,25,Reconstruction,74.67442839,Concrete,552,314.3299866,27,1145,5.125,69,,17,7,2,3,12,3,0,2,5,5,0,1,12,0,
VASSAR AVE,3,Reconstruction,90.84267382,Concrete,140,79.72000122,14,1146,5.125,25,,7,0,5,0,4,3,3,0,2,1,0,0,0,0,
VASSAR AVE,9,Reconstruction,79.62915641,Concrete,294,159.25,36,1147,4.875,15,,4,1,0,0,1,0,0,1,1,6,0,0,1,0,
N BROOKFIELD ST,48,Reconstruction,87.74150725,Concrete,315,179.3800049,3,1148,5.125,103,,23,3,4,22,3,0,0,27,9,12,0,0,0,0,
N ADAMS ST,37,Reconstruction,79.23034,Concrete,554,307.7799988,13,1149,5,80,,17,4,0,0,16,5,1,1,11,17,0,2,6,0,
WILBER ST,28,Reconstruction,73.84871332,Concrete,382,212.2200012,11,1150,5,67,,16,3,0,0,14,5,1,5,15,5,0,0,0,3,
ORANGE ST,4,Defer Maintenance,51.12444443,Concrete,238,132.2200012,75,1151,5,11,,2,0,0,4,1,0,0,3,0,0,0,0,0,1,
LAPORTE AVE,13,Reconstruction,65.97078232,Concrete,370,236.3899994,38,1152,5.75,26,,8,0,0,3,2,0,0,4,3,4,0,0,0,2,
ORANGE ST,8,Reconstruction,62.93386451,Concrete,240,136.6699982,42,1153,5.125,9,,1,0,0,0,0,0,0,1,4,2,0,0,1,0,
W COLFAX AVE,12,Reconstruction,57.92669199,Concrete,428,243.7200012,41,1154,5.125,32,,7,3,4,0,4,2,0,0,6,4,0,1,1,0,
W BULLA ST,7,Reconstruction,83.53842282,Concrete,132,78.83000183,36,1155,5.375,15,,5,0,0,0,2,1,0,6,0,1,0,0,0,0,
W BULLA ST,19,Reconstruction,89.92078621,Concrete,147,89.83000183,15,1156,5.5,36,,5,0,0,7,5,0,0,15,1,1,0,2,0,0,
ANDERSON AVE,18,Reconstruction,85.88206189,Concrete,264,139.3300018,18,1157,4.75,40,,10,1,1,0,10,0,0,4,4,2,0,0,8,0,
RIVERSIDE CT,9,Defer Maintenance,57.84819544,Concrete,529,301.2399902,80,1158,5.125,26,,1,2,0,9,3,2,0,4,0,0,5,0,0,0,
WOODLAWN BLVD,3,Defer Maintenance,67.44818766,Concrete,161,91.68000031,65,1159,5.125,6,,3,0,0,0,0,0,0,0,2,0,0,0,1,0,
N ELMER ST,15,Reconstruction,87.89681054,Concrete,256,138.6699982,13,1160,4.875,39,,11,4,1,0,7,1,0,1,5,8,0,0,1,0,
N OLIVE ST,19,Reconstruction,61.39804567,Concrete,364,197.1699982,50,1161,4.875,38,,9,3,0,0,7,0,0,13,0,1,5,0,0,0,
N OLIVE ST,1,Defer Maintenance,54.92583128,Concrete,122,66.08000183,88,1162,4.875,3,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,
HOLLYWOOD PL,13,Reconstruction,89.25618539,Concrete,154,81.27999878,18,1163,4.75,20,,5,0,0,0,2,0,0,4,1,0,1,4,3,0,
HOLLYWOOD PL,3,Defer Maintenance,71.78784173,Concrete,138,70.91999817,69,1164,4.625,10,,6,0,0,0,1,0,0,3,0,0,0,0,0,0,
